bus_name,gen_name,point,fuel,capacity
POINT COMFORT 2 5,gen-371,POINT (-96.5291 28.668802166523907),GT,137.88
SILVER 4,gen-83,POINT (-100.67910000000002 32.03092734319301),GT,536.4
GREGORY 6,gen-132,POINT (-97.245817 27.863036381621686),GT,206.8
PASADENA 2 6,gen-355,POINT (-95.171439 29.714432670870917),GT,195.6
AUSTIN 1 0,gen-344,POINT (-97.838266 30.394866861665406),GT,2.76
BRIDGEPORT 6,gen-237,POINT (-97.90820000000001 33.17154355183101),GT,256.0
CORPUS CHRISTI 1 2,gen-162,POINT (-97.45170000000002 27.806735574515688),GT,237.32
SAVOY 4,gen-43,POINT (-96.355005 33.6094063532917),GT,470.16
SAN ANTONIO 1 3,gen-298,POINT (-98.33826000000002 29.4223152829411),GT,10.08
ALVIN 0,gen-494,POINT (-95.18288 29.422491490378206),GT,135.0
BROWNSVILLE 1 0,gen-178,POINT (-97.51060000000001 25.906623725411485),GT,220.52
ENNIS 3,gen-241,POINT (-96.66996000000002 32.3136110057127),GT,250.8
MT. ENTERPRISE 6,gen-528,POINT (-94.607143 31.998746642566587),GT,281.88
CHANNELVIEW 1 9,gen-471,POINT (-95.10269000000001 29.8032930235391),GT,220.39
PARIS 1 6,gen-71,POINT (-95.57739999999998 33.603069171045995),GT,221.66
WICHITA FALLS 2 3,gen-58,POINT (-98.5858 33.843814470202105),GT,48.0
SAN ANTONIO 1 5,gen-300,POINT (-98.33826000000002 29.419806707025803),GT,535.2
MARION 1 3,gen-276,POINT (-98.13686 29.617827994870808),GT,217.64
BAYTOWN 1 8,gen-426,POINT (-94.90886 29.661574914958692),GT,214.2
LEWSIVILLE 2,gen-253,POINT (-96.960546 33.010891794882205),GT,3.84
FRANKLIN 6,gen-530,POINT (-96.47400000000002 31.164128869476002),ST,1077.24
GRAHAM 2,gen-193,POINT (-98.59910000000002 33.1215869874652),GT,380.82
CHANNELVIEW 1 4,gen-466,POINT (-95.10269000000001 29.809540534021),GT,128.72
MARION 1 5,gen-278,POINT (-98.13686 29.615324261134813),GT,217.64
TEMPLE 1 2,gen-214,POINT (-97.311822 31.039640653940793),GT,321.28
THOMPSONS 4,gen-453,POINT (-95.62606 29.476218780013504),GT,376.59
NEW BRAUNFELS 1 3,gen-336,POINT (-98.01776 29.731885804180102),GT,3.84
SANTA ROSA 1 5,gen-146,POINT (-97.86341200000001 26.239818359502102),ST,33.6
LAPORTE 5,gen-394,POINT (-95.05478700000002 29.718959096664193),GT,247.86
BASTROP 5,gen-264,POINT (-97.2582 30.126141161460993),GT,238.0
SHERMAN 1 4,gen-66,POINT (-96.60529300000002 33.56382645015371),GT,321.28
FREEPORT 1 4,gen-446,POINT (-95.3294 28.966814890199387),GT,149.37
AUSTIN 1 0,gen-343,POINT (-97.838266 30.394866861665406),GT,123.6
HOUSTON 4 3,gen-412,POINT (-95.39032 29.715732948669206),GT,8.28
HOUSTON 5 3,gen-403,POINT (-95.52556 29.935148789380204),GT,132.72
FAIRFIELD 1 5,gen-517,POINT (-96.1005 31.871594225920308),GT,207.2
ODESSA 1 8,gen-33,POINT (-102.3084 31.834183240019108),GT,114.6
SAN ANTONIO 1 7,gen-302,POINT (-98.33826000000002 29.41729806917129),GT,866.4
FAIRFIELD 2 4,gen-522,POINT (-96.04180000000001 31.80453921349961),ST,712.08
ODESSA 1 9,gen-34,POINT (-102.31380000000001 31.78752961593661),GT,114.6
HOUSTON 6 0,gen-479,POINT (-95.215109 29.819702359047994),GT,86.4
FREEPORT 1 6,gen-448,POINT (-95.3294 28.960515415952585),GT,149.37
HOUSTON 4 5,gen-414,POINT (-95.39032 29.713231650661907),GT,6.0
CORPUS CHRISTI 3 2,gen-138,POINT (-97.29909999999998 27.567313737588698),GT,292.08
MOUNT PLEASANT 1 4,gen-536,POINT (-95.02910000000001 33.075864195472015),ST,792.0
HOUSTON 6 0,gen-480,POINT (-95.215109 29.819702359047994),GT,86.4
HOUSTON 5 4,gen-404,POINT (-95.52556 29.9339008908281),GT,132.72
MT. ENTERPRISE 5,gen-527,POINT (-94.607143 32.001799606618185),GT,281.88
CORPUS CHRISTI 1 5,gen-165,POINT (-97.45170000000002 27.79718227221871),GT,10.8
CHANNELVIEW 1 10,gen-472,POINT (-95.10269000000001 29.802043474614997),GT,220.39
MISSION 1 4,gen-137,POINT (-98.3866 26.145807671045695),GT,211.6
MARION 1 7,gen-280,POINT (-98.13686 29.612820465205505),GT,217.64
TRINIDAD 1 0,gen-539,POINT (-96.090477 32.1184211563178),ST,287.16
PEARSALL 4,gen-156,POINT (-99.07930000000002 28.904653916332006),GT,40.32
NURSERY 7,gen-362,POINT (-97.1224 28.8623886839057),GT,3.84
PASADENA 3 5,gen-429,POINT (-95.04076 29.614675988265414),GT,108.77
MCKINNEY 1 6,gen-221,POINT (-96.59662600000001 33.1557933842877),GT,99.24
SAN ANTONIO 2 8,gen-274,POINT (-98.60886 29.576064026414194),GT,68.88
PASADENA 3 7,gen-431,POINT (-95.04076 29.6121721762336),GT,217.54
ALVIN 0,gen-490,POINT (-95.18288 29.422491490378206),GT,206.64
BROWNSVILLE 1 0,gen-170,POINT (-97.51060000000001 25.906623725411485),GT,90.0
SHIRO 5,gen-513,POINT (-95.90519999999998 30.57302985014232),GT,281.91
SAVOY 2,gen-41,POINT (-96.355005 33.6154025234591),GT,470.16
THOMPSONS 13,gen-462,POINT (-95.62606 29.464935694498614),GT,270.24
BROWNSVILLE 1 0,gen-174,POINT (-97.51060000000001 25.906623725411485),GT,12.48
AUSTIN 1 0,gen-341,POINT (-97.838266 30.394866861665406),GT,14.4
THOMPSONS 6,gen-455,POINT (-95.62606 29.473711536188713),GT,376.59
ALEDO 1 2,gen-183,POINT (-97.50916000000001 32.7142394205182),GT,5.76
BRYAN 1 0,gen-543,POINT (-96.45 30.71551025762),GT,126.0
ALVIN 0,gen-489,POINT (-95.18288 29.422491490378206),GT,206.64
LAPORTE 3,gen-392,POINT (-95.05478700000002 29.721460251958604),GT,19.56
GRANBURY 1 2,gen-224,POINT (-97.719086 32.3273757066874),GT,315.36
BROWNSVILLE 1 0,gen-171,POINT (-97.51060000000001 25.906623725411485),GT,220.52
THOMPSONS 10,gen-459,POINT (-95.62606 29.468696862513887),GT,821.04
HOUSTON 2 1,gen-402,POINT (-95.24076000000001 29.944401714108306),GT,12.24
WINCHESTER 4,gen-294,POINT (-96.9749 30.024854016108005),GT,72.6
DALLAS 1 5,gen-187,POINT (-96.63940400000001 32.6386075401017),GT,370.16
POINT COMFORT 1 0,gen-484,POINT (-96.549197 28.633752374787612),GT,372.0
IRVING 1 1,gen-201,POINT (-96.98796000000002 32.9128536227228),ST,12.96
THOMPSONS 9,gen-458,POINT (-95.62606 29.46995055418471),GT,821.04
RALLS 1 4,gen-63,POINT (-101.37740000000001 33.64837540056509),WT,180.0
MIAMI 0,gen-74,POINT (-100.527811 35.648038404923994),WT,346.32
ROSCOE 4 1,gen-92,POINT (-100.4797 32.2209560400834),WT,96.6
VERNON 1 1,gen-52,POINT (-99.36112200000001 34.2773582406679),WT,162.48
FORT STOCKTON 2 0,gen-36,POINT (-102.34662799999998 30.801087757718893),WT,180.0
BAYTOWN 3 4,gen-436,POINT (-94.992237 29.743202629355608),PVe,33.96
BIG SPRING 3 1,gen-24,POINT (-101.447785 32.0878612318491),WT,171.0
SARITA 1 2,gen-160,POINT (-97.776567 27.206248240457086),WT,225.6
SYNDER 1,gen-108,POINT (-100.735349 32.726423627522806),WT,75.6
ALBANY 1 5,gen-242,POINT (-99.4102 32.75543381771269),WT,198.72
FORSAN 2,gen-12,POINT (-101.395 32.1247951475205),WT,70.56
SAN PERLITA 0,gen-169,POINT (-97.68031099999999 26.46883290649291),WT,243.6
BRACKETTVILLE 2 1,gen-95,POINT (-100.205567 29.218228035189206),WT,119.76
ROUND ROCK 1 6,gen-292,POINT (-97.688846 30.545573158189093),PVe,48.84
GOLDSMITH 0,gen-40,POINT (-102.819333 31.988893517494812),WT,43.2
WHITE DEER 1,gen-51,POINT (-101.2403 35.4635077026973),WT,96.0
PANHANDLE 5 1,gen-60,POINT (-101.53640000000001 35.33781989743399),WT,12.0
BAYTOWN 3 2,gen-434,POINT (-94.992237 29.745703180288093),PVe,9.0
MCCAMEY 2 0,gen-38,POINT (-102.2163 31.13303722266159),WT,90.0
BLACKWELL 1,gen-76,POINT (-100.26500000000001 32.1790582643664),WT,203.4
BRACKETTVILLE 1 1,gen-110,POINT (-100.380289 29.315549244833004),PVe,47.52
BAYTOWN 3 7,gen-439,POINT (-94.992237 29.7394516860367),PVe,67.92
WINGATE 4,gen-87,POINT (-100.04452000000002 32.18889246613329),WT,294.2
ARMSTRONG 1 2,gen-161,POINT (-97.58680000000001 26.97463425193141),WT,339.84
RALLS 1 3,gen-62,POINT (-101.37740000000001 33.65137218175279),WT,12.0
SWEETWATER 4 1,gen-75,POINT (-100.33530000000002 32.347675224722),WT,45.0
GOLDSMITH 0,gen-39,POINT (-102.819333 31.988893517494812),WT,183.0
JACKSBORO 1 2,gen-182,POINT (-98.325052 33.0491124429784),WT,144.0
TAFT 2 1,gen-151,POINT (-97.44996 27.936055633502797),WT,216.0
BIG SPRING 6 1,gen-22,POINT (-101.418836 32.25720041881092),PVe,1.8
BIG SPRINGS 1,gen-7,POINT (-101.2164 32.0260294673358),WT,149.04
PANHANDLE 5 2,gen-61,POINT (-101.53640000000001 35.33488312254741),WT,95.4
WINGATE 3,gen-86,POINT (-100.04452000000002 32.19193908238331),WT,294.2
ARCHER 2 1,gen-53,POINT (-98.57834400000002 33.48029558350581),WT,180.0
PORT LAVACA 2,gen-363,POINT (-96.8207 28.554100188226396),PVe,46.56
ROUND ROCK 1 5,gen-291,POINT (-97.688846 30.5468133145438),PVe,16.68
SYNDER 2,gen-109,POINT (-100.735349 32.72339503452461),WT,144.0
PRESIDIO 1 1,gen-4,POINT (-104.2964 29.583565207190606),PVe,12.0
SARITA 3 1,gen-120,POINT (-97.48609999999998 27.0637885794484),WT,241.92
ROUND ROCK 1 3,gen-289,POINT (-97.688846 30.54929357972971),PVe,6.6
IRAAN 2 1,gen-3,POINT (-102.19783300000002 30.9183420234792),WT,99.0
MERKEL 1 2,gen-97,POINT (-100.164386 32.305290171689286),WT,279.0
BIG SPRING 2 0,gen-37,POINT (-101.2893 31.9299895992278),WT,138.6
PANHANDLE 4 2,gen-45,POINT (-101.24045600000001 35.41503183522809),WT,261.6
ROSCOE 2 2,gen-80,POINT (-100.6538 32.45649079710721),WT,250.8
O DONNELL 1 1,gen-1,POINT (-101.636978 32.9203453324632),WT,253.2
ROSCOE 1 1,gen-111,POINT (-100.57610000000001 32.48095793986279),WT,236.4
SEBASTIAN 2 1,gen-126,POINT (-97.56410000000001 26.3242668292268),WT,240.0
ABILENE 1 4,gen-100,POINT (-99.6438 32.49238831429049),WT,240.0
FLUVANNA 1 1,gen-105,POINT (-101.215797 32.91259657537129),WT,100.8
OILTON 0,gen-181,POINT (-98.99447800000002 27.48166864386469),WT,110.4
LORAINE 1 2,gen-99,POINT (-100.7408 32.418508516721616),WT,90.0
FLUVANNA 2 2,gen-102,POINT (-101.135184 32.9350898403737),WT,192.0
PANHANDLE 2 2,gen-44,POINT (-101.298233 35.22877635605561),WT,240.72
PORT LAVACA 5,gen-366,POINT (-96.8207 28.5446134062122),PVe,5.28
MUENSTER 1 1,gen-55,POINT (-97.42480599999999 33.72028105094409),WT,135.0
LENORAH 1,gen-19,POINT (-101.83310000000002 32.21322024953109),WT,144.0
IRAAN 1 1,gen-25,POINT (-102.0831 30.898495183075006),WT,192.6
PANHANDLE 1 0,gen-73,POINT (-101.36377799999998 35.43691198179582),WT,218.04
ROUND ROCK 1 2,gen-288,POINT (-97.688846 30.55053368856009),PVe,36.0
CUSHING 1 2,gen-531,POINT (-94.88804 31.8160732192637),PVe,136.8
LUFKIN 1 1,gen-510,POINT (-94.740011 31.346619156679417),PVe,52.8
CHRISTOVAL 2,gen-77,POINT (-100.66622 31.072331201834395),WT,180.0
DUBLIN 1 1,gen-205,POINT (-98.472511 32.32568308312928),WT,72.0
BIG SPRING 5 1,gen-2,POINT (-101.384733 32.1915068619678),WT,41.16
BRYSON 1 2,gen-206,POINT (-98.352469 33.19299841828041),WT,180.0
TUSOCOLA 0,gen-114,POINT (-99.99826700000001 32.2978031716202),WT,136.8
STERLING CITY 1 2,gen-88,POINT (-100.9155 31.907001572555895),WT,198.75
LORAINE 1 1,gen-98,POINT (-100.7408 32.421547422785686),WT,90.0
STERLING CITY 1 4,gen-90,POINT (-100.9155 31.900889238421307),WT,198.75
FORT STOCKTON 1 1,gen-10,POINT (-102.50220800000001 30.7532409481075),WT,177.0
SNYDER 1 1,gen-79,POINT (-100.9916 32.70752689988102),WT,156.6
MCCAMEY 1 1,gen-8,POINT (-102.23090000000002 31.20304177581981),WT,333.6
NOLAN 1,gen-94,POINT (-100.09640000000002 32.2718209937277),WT,204.24
OLNEY 1 2,gen-210,POINT (-98.69934399999998 33.364821351362195),WT,270.0
BAYTOWN 3 5,gen-437,POINT (-94.992237 29.74195233050502),PVe,33.96
BAYTOWN 3 6,gen-438,POINT (-94.992237 29.740702016065196),PVe,33.96
ARCHER 1 1,gen-59,POINT (-98.4964 33.482517910917615),WT,81.12
SWEETWATER 1 0,gen-118,POINT (-100.1196 32.4020211797149),WT,121.44
STERLING CITY 1 3,gen-89,POINT (-100.9155 31.903945456230797),WT,198.75
PANHANDLE 3 1,gen-48,POINT (-101.574972 35.373563420950795),WT,95.52
TAFT 1 0,gen-168,POINT (-97.2859 27.989442342071293),WT,240.12
O DONNELL 2 1,gen-6,POINT (-101.575017 32.91314896301149),WT,216.0
SWEETWATER 3 0,gen-119,POINT (-100.3757 32.34111708180161),WT,109.8
WINGATE 2,gen-85,POINT (-100.04452000000002 32.194985596652316),WT,294.2
STERLING CITY 1 5,gen-91,POINT (-100.9155 31.897832919132693),WT,198.75
ROSCOE 3 0,gen-113,POINT (-100.6391 32.392220519816696),WT,151.8
MERKEL 2 1,gen-101,POINT (-100.050789 32.29558118049491),WT,144.72
ROUND ROCK 1 1,gen-287,POINT (-97.688846 30.551773781548402),PVe,1.68
BIG SPRING 4 1,gen-9,POINT (-101.299037 31.978464735418992),WT,108.0
BIG SPRING 6 2,gen-23,POINT (-101.418836 32.254155989047106),PVe,276.0
SEBASTIAN 1 0,gen-180,POINT (-97.65780000000001 26.342467843903417),WT,241.92
SARITA 2 1,gen-166,POINT (-97.5283 27.113291412381788),WT,241.2
STERLING CITY 2 2,gen-107,POINT (-100.787789 31.93590609668371),WT,89.76
BAYTOWN 3 3,gen-435,POINT (-94.992237 29.744452912616804),PVe,33.96
TRENT 1 1,gen-93,POINT (-100.232052 32.41110695841859),WT,180.0
ABILENE 2 2,gen-78,POINT (-99.48020000000001 32.61574558201621),WT,240.0
BRUNI 1 1,gen-167,POINT (-98.883678 27.569728758356298),WT,180.0
ROSCOE 5 2,gen-84,POINT (-100.51950000000001 32.3061147297888),WT,289.2
ROUND ROCK 1 4,gen-290,POINT (-97.688846 30.548053455057502),PVe,12.72
HERMLEIGH 3,gen-96,POINT (-100.66020000000002 32.57267420947051),WT,298.8
PORT LAVACA 3,gen-364,POINT (-96.8207 28.550938022513513),PVe,12.0
STERLING CITY 2 1,gen-106,POINT (-100.787789 31.93896115120671),WT,89.76
GOLDTHWAITE 1 4,gen-211,POINT (-98.454067 31.36719664044091),WT,180.0
SWEETWATER 2 0,gen-112,POINT (-100.4129 32.28474629503489),WT,162.0
FORSAN 1,gen-11,POINT (-101.395 32.1278439073388),WT,146.28
BIG SPRING 1 1,gen-5,POINT (-101.11309999999999 31.97341537235251),WT,239.4
PORT LAVACA 4,gen-365,POINT (-96.8207 28.547775761839898),PVe,12.0
JAYTON 3,gen-54,POINT (-100.511567 32.953864265692594),WT,36.0
CUERO 1 5,gen-328,POINT (-97.322036 29.103767186715604),HY,7.2
MARBLE FALLS 1 2,gen-286,POINT (-98.25399300000001 30.539011108264802),HY,26.4
MARBLE FALLS 2 6,gen-311,POINT (-98.3186 30.527320045862904),HY,223.6
MARBLE FALLS 1 1,gen-285,POINT (-98.25399300000001 30.542111678978998),HY,26.4
FALCON HEIGHTS 1 3,gen-125,POINT (-99.1606 26.53737229575089),HY,79.2
CUERO 1 9,gen-332,POINT (-97.322036 29.091184558234406),HY,3.36
CUERO 1 7,gen-330,POINT (-97.322036 29.097476064705695),HY,2.88
BUCHANAN DAM 1 2,gen-104,POINT (-98.38182200000001 30.7153517470437),HY,65.88
FALCON HEIGHTS 1 1,gen-123,POINT (-99.1606 26.543813545452014),HY,37.8
CUERO 1 3,gen-326,POINT (-97.322036 29.110057924211805),HY,1.8
LEWISVILLE 1 2,gen-231,POINT (-96.962366 33.0536891018139),HY,84.0
CUERO 1 2,gen-325,POINT (-97.322036 29.11320314875079),HY,2.88
FALCON HEIGHTS 1 2,gen-124,POINT (-99.1606 26.540592965811413),HY,11.52
MARBLE FALLS 2 5,gen-310,POINT (-98.3186 30.530420989777507),HY,223.6
CUERO 1 6,gen-329,POINT (-97.322036 29.100621673771613),HY,4.32
CUERO 1 8,gen-331,POINT (-97.322036 29.094330359524495),HY,2.88
MARBLE FALLS 2 3,gen-308,POINT (-98.3186 30.536622580674894),HY,72.0
CLIFTON 1 1,gen-200,POINT (-97.3631 31.85640550109459),HY,50.16
AUSTIN 3 4,gen-268,POINT (-97.793768 30.2856526110842),HY,129.6
CUERO 1 1,gen-324,POINT (-97.322036 29.116348277141906),HY,1.8
CUERO 1 4,gen-327,POINT (-97.322036 29.10691260353121),HY,2.88
BUCHANAN DAM 1 1,gen-103,POINT (-98.38182200000001 30.718446672987206),HY,18.0
LEWISVILLE 1 1,gen-230,POINT (-96.962366 33.0548960437181),HY,3.36
MARBLE FALLS 2 4,gen-309,POINT (-98.3186 30.533521834716794),HY,223.6
AUSTIN 3 3,gen-267,POINT (-97.793768 30.286896074684893),HY,21.6
